STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
TOTAL (STATES),2006,Total Salaried,13,3037,4646,2850,289,10835,2,1150,687,360,31,2230,13065
TOTAL (STATES),2006,Total Self-employed,254,10507,15860,10523,3919,41063,245,2628,2178,1108,697,6856,47919
A & N ISLANDS,2006,House Wife,0,0,0,0,0,0,0,18,10,3,2,33,33
A & N ISLANDS,2006,Service (Government),0,3,4,4,0,11,0,0,0,0,0,0,11
A & N ISLANDS,2006,Service (Private),0,10,28,18,6,62,0,1,0,0,0,1,63
A & N ISLANDS,2006,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2006,Student,1,0,0,0,0,1,1,2,0,0,0,3,4
A & N ISLANDS,2006,Unemployed,0,2,0,0,0,2,0,0,0,0,0,0,2
A & N ISLANDS,2006,Self-employed (Business activity),0,2,0,2,0,4,0,0,0,0,0,0,4
A & N ISLANDS,2006,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2006,Farming/Agriculture Activity,0,2,2,1,1,6,0,0,0,0,0,0,6
A & N ISLANDS,2006,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2006,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2006,Others (Please Specify),3,2,0,0,5,10,0,0,0,0,0,0,10
A & N ISLANDS,2006,Total,4,21,34,25,12,96,1,21,10,3,2,37,133
A & N ISLANDS,2006,Total Salaried,0,13,32,22,6,73,0,1,0,0,0,1,74
A & N ISLANDS,2006,Total Self-employed,0,4,2,3,1,10,0,0,0,0,0,0,10
CHANDIGARH,2006,House Wife,0,0,0,0,0,0,0,3,6,1,1,11,11
CHANDIGARH,2006,Service (Government),0,2,3,2,0,7,0,0,0,0,0,0,7
CHANDIGARH,2006,Service (Private),0,5,8,0,0,13,0,2,0,0,0,2,15
CHANDIGARH,2006,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2006,Student,0,11,0,0,0,11,2,7,0,0,0,9,20
CHANDIGARH,2006,Unemployed,0,7,15,1,0,23,0,2,0,0,0,2,25
CHANDIGARH,2006,Self-employed (Business activity),0,0,0,0,1,1,0,0,0,0,0,0,1
CHANDIGARH,2006,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2006,Farming/Agriculture Activity,0,1,0,0,0,1,0,0,0,0,0,0,1
CHANDIGARH,2006,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2006,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2006,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2006,Total,0,26,26,3,1,56,2,14,6,1,1,24,80
CHANDIGARH,2006,Total Salaried,0,7,11,2,0,20,0,2,0,0,0,2,22
CHANDIGARH,2006,Total Self-employed,0,1,0,0,1,2,0,0,0,0,0,0,2
D & N HAVELI,2006,House Wife,0,0,0,0,0,0,0,7,6,2,2,17,17
D & N HAVELI,2006,Service (Government),0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2006,Service (Private),0,2,0,0,1,3,0,0,0,0,0,0,3
D & N HAVELI,2006,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2006,Student,0,2,0,0,0,2,0,0,0,0,0,0,2
D & N HAVELI,2006,Unemployed,0,3,2,0,0,5,1,1,0,0,0,2,7
D & N HAVELI,2006,Self-employed (Business activity),0,0,1,0,0,1,0,0,0,0,0,0,1
D & N HAVELI,2006,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2006,Farming/Agriculture Activity,0,1,2,3,6,12,0,0,0,0,0,0,12
D & N HAVELI,2006,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2006,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2006,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2006,Total,0,8,5,3,7,23,1,8,6,2,2,19,42
D & N HAVELI,2006,Total Salaried,0,2,0,0,1,3,0,0,0,0,0,0,3
D & N HAVELI,2006,Total Self-employed,0,1,3,3,6,13,0,0,0,0,0,0,13
DAMAN & DIU,2006,House Wife,0,0,0,0,0,0,0,3,0,0,0,3,3
DAMAN & DIU,2006,Service (Government),0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2006,Service (Private),0,6,2,0,0,8,0,0,0,0,0,0,8
DAMAN & DIU,2006,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2006,Student,0,1,0,0,0,1,1,1,0,0,0,2,3
DAMAN & DIU,2006,Unemployed,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2006,Self-employed (Business activity),0,0,1,0,0,1,0,0,0,0,0,0,1
DAMAN & DIU,2006,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2006,Farming/Agriculture Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2006,Others (Please Specify),0,0,2,0,0,2,0,0,0,0,0,0,2
DAMAN & DIU,2006,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2006,Others (Please Specify),0,0,0,1,1,2,2,0,1,0,0,3,5
DAMAN & DIU,2006,Total,0,7,5,1,1,14,3,4,1,0,0,8,22
DAMAN & DIU,2006,Total Salaried,0,6,2,0,0,8,0,0,0,0,0,0,8
DAMAN & DIU,2006,Total Self-employed,0,0,3,0,0,3,0,0,0,0,0,0,3
DELHI (UT),2006,House Wife,0,0,0,0,0,0,0,194,111,24,2,331,331
DELHI (UT),2006,Service (Government),0,4,15,8,0,27,0,1,3,0,0,4,31
DELHI (UT),2006,Service (Private),0,116,94,37,1,248,0,15,2,0,0,17,265
DELHI (UT),2006,Public Sector Undertaking,0,10,11,1,0,22,1,2,0,0,0,3,25
DELHI (UT),2006,Student,3,52,0,0,0,55,9,53,1,0,0,63,118
DELHI (UT),2006,Unemployed,1,150,90,33,3,277,1,32,5,0,2,40,317
DELHI (UT),2006,Self-employed (Business activity),0,7,13,1,1,22,0,6,1,0,0,7,29
DELHI (UT),2006,Professional Activity,0,1,1,2,0,4,0,0,0,0,0,0,4
DELHI (UT),2006,Farming/Agriculture Activity,0,0,3,0,0,3,0,0,0,0,0,0,3
DELHI (UT),2006,Others (Please Specify),4,69,82,44,12,211,2,21,23,2,0,48,259
DELHI (UT),2006,Retired Person,0,9,5,2,1,17,0,0,0,0,0,0,17
DELHI (UT),2006,Others (Please Specify),1,31,26,11,5,74,3,11,2,2,1,19,93
DELHI (UT),2006,Total,9,449,340,139,23,960,16,335,148,28,5,532,1492
DELHI (UT),2006,Total Salaried,0,130,120,46,1,297,1,18,5,0,0,24,321
DELHI (UT),2006,Total Self-employed,4,77,99,47,13,240,2,27,24,2,0,55,295
LAKSHADWEEP,2006,House Wife,0,0,0,0,0,0,0,1,0,0,0,1,1
LAKSHADWEEP,2006,Service (Government),0,0,1,0,0,1,0,0,0,0,0,0,1
LAKSHADWEEP,2006,Service (Private),0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2006,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2006,Student,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2006,Unemployed,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2006,Self-employed (Business activity),0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2006,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2006,Farming/Agriculture Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2006,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2006,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2006,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2006,Total,0,0,1,0,0,1,0,1,0,0,0,1,2
LAKSHADWEEP,2006,Total Salaried,0,0,1,0,0,1,0,0,0,0,0,0,1
LAKSHADWEEP,2006,Total Self-employed,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2006,House Wife,0,0,0,0,0,0,0,47,31,10,8,96,96
PUDUCHERRY,2006,Service (Government),0,1,9,7,0,17,0,1,2,0,0,3,20
PUDUCHERRY,2006,Service (Private),0,18,29,15,2,64,0,5,2,0,0,7,71
PUDUCHERRY,2006,Public Sector Undertaking,0,0,1,2,1,4,0,0,0,0,0,0,4
PUDUCHERRY,2006,Student,5,10,0,0,0,15,8,29,0,0,0,37,52
PUDUCHERRY,2006,Unemployed,0,14,8,9,14,45,0,20,1,2,5,28,73
PUDUCHERRY,2006,Self-employed (Business activity),0,4,10,6,1,21,0,0,0,0,0,0,21
PUDUCHERRY,2006,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2006,Farming/Agriculture Activity,0,35,76,50,8,169,0,1,2,3,0,6,175
PUDUCHERRY,2006,Others (Please Specify),0,0,1,0,0,1,0,0,0,0,0,0,1
PUDUCHERRY,2006,Retired Person,0,0,0,0,2,2,0,0,0,0,0,0,2
PUDUCHERRY,2006,Others (Please Specify),0,2,3,4,2,11,0,0,0,0,0,0,11
PUDUCHERRY,2006,Total,5,84,137,93,30,349,8,103,38,15,13,177,526
PUDUCHERRY,2006,Total Salaried,0,19,39,24,3,85,0,6,4,0,0,10,95
PUDUCHERRY,2006,Total Self-employed,0,39,87,56,9,191,0,1,2,3,0,6,197
TOTAL (UTs),2006,House Wife,0,0,0,0,0,0,0,273,164,40,15,492,492
TOTAL (UTs),2006,Service (Government),0,10,32,21,0,63,0,2,5,0,0,7,70
TOTAL (UTs),2006,Service (Private),0,157,161,70,10,398,0,23,4,0,0,27,425
TOTAL (UTs),2006,Public Sector Undertaking,0,10,12,3,1,26,1,2,0,0,0,3,29
TOTAL (UTs),2006,Student,9,76,0,0,0,85,21,92,1,0,0,114,199
TOTAL (UTs),2006,Unemployed,1,176,115,43,17,352,2,55,6,2,7,72,424
TOTAL (UTs),2006,Self-employed (Business activity),0,13,25,9,3,50,0,6,1,0,0,7,57
TOTAL (UTs),2006,Professional Activity,0,1,1,2,0,4,0,0,0,0,0,0,4
TOTAL (UTs),2006,Farming/Agriculture Activity,0,39,83,54,15,191,0,1,2,3,0,6,197
TOTAL (UTs),2006,Others (Please Specify),4,69,85,44,12,214,2,21,23,2,0,48,262
TOTAL (UTs),2006,Retired Person,0,9,5,2,3,19,0,0,0,0,0,0,19
TOTAL (UTs),2006,Others (Please Specify),4,35,29,16,13,97,5,11,3,2,1,22,119
TOTAL (UTs),2006,Total,18,595,548,264,74,1499,31,486,209,49,23,798,2297
TOTAL (UTs),2006,Total Salaried,0,177,205,94,11,487,1,27,9,0,0,37,524
TOTAL (UTs),2006,Total Self-employed,4,122,194,109,30,459,2,28,26,5,0,61,520
TOTAL (ALL INDIA),2006,House Wife,0,0,0,0,0,0,40,11317,8379,4031,1296,25063,25063
TOTAL (ALL INDIA),2006,Service (Government),5,434,815,568,12,1834,0,122,129,54,8,313,2147
TOTAL (ALL INDIA),2006,Service (Private),6,2170,3101,1955,231,7463,0,902,457,200,19,1578,9041
TOTAL (ALL INDIA),2006,Public Sector Undertaking,2,610,935,421,57,2025,3,153,110,106,4,376,2401
TOTAL (ALL INDIA),2006,Student,562,2421,107,25,8,3123,636,2009,84,5,0,2734,5857
TOTAL (ALL INDIA),2006,Unemployed,11,3260,2666,1075,403,7415,7,843,370,168,83,1471,8886
TOTAL (ALL INDIA),2006,Self-employed (Business activity),5,1599,3056,1525,319,6504,2,145,209,65,9,430,6934
TOTAL (ALL INDIA),2006,Professional Activity,16,852,1359,973,208,3408,5,112,77,35,6,235,3643
TOTAL (ALL INDIA),2006,Farming/Agriculture Activity,56,3535,5761,3704,1608,14664,58,922,847,429,140,2396,17060
TOTAL (ALL INDIA),2006,Others (Please Specify),181,4643,5878,4430,1814,16946,182,1477,1071,584,542,3856,20802
TOTAL (ALL INDIA),2006,Retired Person,1,36,39,137,752,965,0,1,6,12,135,154,1119
TOTAL (ALL INDIA),2006,Others (Please Specify),349,3197,4092,2532,1185,11355,337,1456,1151,572,288,3804,15159
TOTAL (ALL INDIA),2006,Total,1194,22757,27809,17345,6597,75702,1270,19459,12890,6261,2530,42410,118112
TOTAL (ALL INDIA),2006,Total Salaried,13,3214,4851,2944,300,11322,3,1177,696,360,31,2267,13589
TOTAL (ALL INDIA),2006,Total Self-employed,258,10629,16054,10632,3949,41522,247,2656,2204,1113,697,6917,48439
